"Año","Clave_Ent","Entidad","Subtipo de delito","Sexo","Rango de edad","Total"
2015,10,"Durango","Homicidio doloso","Hombre","Adultos (18 y más)",200
2015,10,"Durango","Homicidio doloso","Hombre","Menores de edad (0-17)",12
2015,10,"Durango","Homicidio doloso","Mujer","Adultos (18 y más)",6
2015,10,"Durango","Homicidio doloso","Mujer","Menores de edad (0-17)",3
2015,11,"Guanajuato","Homicidio doloso","Hombre","Adultos (18 y más)",808
2015,11,"Guanajuato","Homicidio doloso","Hombre","Menores de edad (0-17)",39
2015,11,"Guanajuato","Homicidio doloso","Mujer","Adultos (18 y más)",101
2015,11,"Guanajuato","Homicidio doloso","Mujer","Menores de edad (0-17)",8
2015,12,"Guerrero","Homicidio doloso","Hombre","Adultos (18 y más)",771
2015,12,"Guerrero","Homicidio doloso","Hombre","Menores de edad (0-17)",34
2015,12,"Guerrero","Homicidio doloso","Mujer","Adultos (18 y más)",92
2015,12,"Guerrero","Homicidio doloso","Mujer","Menores de edad (0-17)",6
2015,13,"Hidalgo","Homicidio doloso","Hombre","Adultos (18 y más)",120
2015,13,"Hidalgo","Homicidio doloso","Hombre","Menores de edad (0-17)",2
2015,13,"Hidalgo","Homicidio doloso","Mujer","Adultos (18 y más)",28
2015,13,"Hidalgo","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2015,14,"Jalisco","Homicidio doloso","Hombre","Adultos (18 y más)",827
2015,14,"Jalisco","Homicidio doloso","Hombre","Menores de edad (0-17)",31
2015,14,"Jalisco","Homicidio doloso","Mujer","Adultos (18 y más)",57
2015,14,"Jalisco","Homicidio doloso","Mujer","Menores de edad (0-17)",11
2015,15,"México","Homicidio doloso","Hombre","Adultos (18 y más)",1841
2015,15,"México","Homicidio doloso","Hombre","Menores de edad (0-17)",69
2015,15,"México","Homicidio doloso","Mujer","Adultos (18 y más)",268
2015,15,"México","Homicidio doloso","Mujer","Menores de edad (0-17)",53
2015,16,"Michoacán de Ocampo","Homicidio doloso","Hombre","Adultos (18 y más)",652
2015,16,"Michoacán de Ocampo","Homicidio doloso","Hombre","Menores de edad (0-17)",48
2015,16,"Michoacán de Ocampo","Homicidio doloso","Mujer","Adultos (18 y más)",62
2015,16,"Michoacán de Ocampo","Homicidio doloso","Mujer","Menores de edad (0-17)",9
2015,17,"Morelos","Homicidio doloso","Hombre","Adultos (18 y más)",319
2015,17,"Morelos","Homicidio doloso","Hombre","Menores de edad (0-17)",8
2015,17,"Morelos","Homicidio doloso","Mujer","Adultos (18 y más)",26
2015,17,"Morelos","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2015,18,"Nayarit","Homicidio doloso","Hombre","Adultos (18 y más)",73
2015,18,"Nayarit","Homicidio doloso","Hombre","Menores de edad (0-17)",4
2015,18,"Nayarit","Homicidio doloso","Mujer","Adultos (18 y más)",8
2015,18,"Nayarit","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2015,19,"Nuevo León","Homicidio doloso","Hombre","Adultos (18 y más)",312
2015,19,"Nuevo León","Homicidio doloso","Hombre","Menores de edad (0-17)",20
2015,19,"Nuevo León","Homicidio doloso","Mujer","Adultos (18 y más)",33
2015,19,"Nuevo León","Homicidio doloso","Mujer","Menores de edad (0-17)",15
2015,20,"Oaxaca","Homicidio doloso","Hombre","Adultos (18 y más)",199
2015,20,"Oaxaca","Homicidio doloso","Hombre","Menores de edad (0-17)",6
2015,20,"Oaxaca","Homicidio doloso","Mujer","Adultos (18 y más)",8
2015,20,"Oaxaca","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2015,21,"Puebla","Homicidio doloso","Hombre","Adultos (18 y más)",433
2015,21,"Puebla","Homicidio doloso","Hombre","Menores de edad (0-17)",23
2015,21,"Puebla","Homicidio doloso","Mujer","Adultos (18 y más)",72
2015,21,"Puebla","Homicidio doloso","Mujer","Menores de edad (0-17)",7
2015,22,"Querétaro","Homicidio doloso","Hombre","Adultos (18 y más)",104
2015,22,"Querétaro","Homicidio doloso","Hombre","Menores de edad (0-17)",5
2015,22,"Querétaro","Homicidio doloso","Mujer","Adultos (18 y más)",11
2015,22,"Querétaro","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2015,23,"Quintana Roo","Homicidio doloso","Hombre","Adultos (18 y más)",102
2015,23,"Quintana Roo","Homicidio doloso","Hombre","Menores de edad (0-17)",5
2015,23,"Quintana Roo","Homicidio doloso","Mujer","Adultos (18 y más)",37
2015,23,"Quintana Roo","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2015,24,"San Luis Potosí","Homicidio doloso","Hombre","Adultos (18 y más)",206
2015,24,"San Luis Potosí","Homicidio doloso","Hombre","Menores de edad (0-17)",15
2015,24,"San Luis Potosí","Homicidio doloso","Mujer","Adultos (18 y más)",26
2015,24,"San Luis Potosí","Homicidio doloso","Mujer","Menores de edad (0-17)",7
2015,25,"Sinaloa","Homicidio doloso","Hombre","Adultos (18 y más)",898
2015,25,"Sinaloa","Homicidio doloso","Hombre","Menores de edad (0-17)",25
2015,25,"Sinaloa","Homicidio doloso","Mujer","Adultos (18 y más)",32
2015,25,"Sinaloa","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2015,26,"Sonora","Homicidio doloso","Hombre","Adultos (18 y más)",395
2015,26,"Sonora","Homicidio doloso","Hombre","Menores de edad (0-17)",14
2015,26,"Sonora","Homicidio doloso","Mujer","Adultos (18 y más)",49
2015,26,"Sonora","Homicidio doloso","Mujer","Menores de edad (0-17)",6
2015,27,"Tabasco","Homicidio doloso","Hombre","Adultos (18 y más)",101
2015,27,"Tabasco","Homicidio doloso","Hombre","Menores de edad (0-17)",4
2015,27,"Tabasco","Homicidio doloso","Mujer","Adultos (18 y más)",12
2015,27,"Tabasco","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2015,28,"Tamaulipas","Homicidio doloso","Hombre","Adultos (18 y más)",329
2015,28,"Tamaulipas","Homicidio doloso","Hombre","Menores de edad (0-17)",16
2015,28,"Tamaulipas","Homicidio doloso","Mujer","Adultos (18 y más)",41
2015,28,"Tamaulipas","Homicidio doloso","Mujer","Menores de edad (0-17)",7
2015,29,"Tlaxcala","Homicidio doloso","Hombre","Adultos (18 y más)",33
2015,29,"Tlaxcala","Homicidio doloso","Hombre","Menores de edad (0-17)",0
2015,29,"Tlaxcala","Homicidio doloso","Mujer","Adultos (18 y más)",3
2015,29,"Tlaxcala","Homicidio doloso","Mujer","Menores de edad (0-17)",3
2015,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Hombre","Adultos (18 y más)",276
2015,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Hombre","Menores de edad (0-17)",14
2015,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Mujer","Adultos (18 y más)",22
2015,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2015,31,"Yucatán","Homicidio doloso","Hombre","Adultos (18 y más)",38
2015,31,"Yucatán","Homicidio doloso","Hombre","Menores de edad (0-17)",5
2015,31,"Yucatán","Homicidio doloso","Mujer","Adultos (18 y más)",8
2015,31,"Yucatán","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2015,32,"Zacatecas","Homicidio doloso","Hombre","Adultos (18 y más)",239
2015,32,"Zacatecas","Homicidio doloso","Hombre","Menores de edad (0-17)",22
2015,32,"Zacatecas","Homicidio doloso","Mujer","Adultos (18 y más)",12
2015,32,"Zacatecas","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2016,1,"Aguascalientes","Homicidio doloso","Hombre","Adultos (18 y más)",35
2016,1,"Aguascalientes","Homicidio doloso","Hombre","Menores de edad (0-17)",1
2016,1,"Aguascalientes","Homicidio doloso","Mujer","Adultos (18 y más)",3
2016,1,"Aguascalientes","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2016,2,"Baja California","Homicidio doloso","Hombre","Adultos (18 y más)",811
2016,2,"Baja California","Homicidio doloso","Hombre","Menores de edad (0-17)",25
2016,2,"Baja California","Homicidio doloso","Mujer","Adultos (18 y más)",88
2016,2,"Baja California","Homicidio doloso","Mujer","Menores de edad (0-17)",12
2016,3,"Baja California Sur","Homicidio doloso","Hombre","Adultos (18 y más)",235
2016,3,"Baja California Sur","Homicidio doloso","Hombre","Menores de edad (0-17)",5
2016,3,"Baja California Sur","Homicidio doloso","Mujer","Adultos (18 y más)",12
2016,3,"Baja California Sur","Homicidio doloso","Mujer","Menores de edad (0-17)",3
2016,4,"Campeche","Homicidio doloso","Hombre","Adultos (18 y más)",70
2016,4,"Campeche","Homicidio doloso","Hombre","Menores de edad (0-17)",3
2016,4,"Campeche","Homicidio doloso","Mujer","Adultos (18 y más)",6
2016,4,"Campeche","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2016,5,"Coahuila de Zaragoza","Homicidio doloso","Hombre","Adultos (18 y más)",194
2016,5,"Coahuila de Zaragoza","Homicidio doloso","Hombre","Menores de edad (0-17)",7
2016,5,"Coahuila de Zaragoza","Homicidio doloso","Mujer","Adultos (18 y más)",26
2016,5,"Coahuila de Zaragoza","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2016,6,"Colima","Homicidio doloso","Hombre","Adultos (18 y más)",394
2016,6,"Colima","Homicidio doloso","Hombre","Menores de edad (0-17)",12
2016,6,"Colima","Homicidio doloso","Mujer","Adultos (18 y más)",27
2016,6,"Colima","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2016,7,"Chiapas","Homicidio doloso","Hombre","Adultos (18 y más)",431
2016,7,"Chiapas","Homicidio doloso","Hombre","Menores de edad (0-17)",9
2016,7,"Chiapas","Homicidio doloso","Mujer","Adultos (18 y más)",40
2016,7,"Chiapas","Homicidio doloso","Mujer","Menores de edad (0-17)",5
2016,8,"Chihuahua","Homicidio doloso","Hombre","Adultos (18 y más)",909
2016,8,"Chihuahua","Homicidio doloso","Hombre","Menores de edad (0-17)",35
2016,8,"Chihuahua","Homicidio doloso","Mujer","Adultos (18 y más)",92
2016,8,"Chihuahua","Homicidio doloso","Mujer","Menores de edad (0-17)",7
2016,9,"Ciudad de México","Homicidio doloso","Hombre","Adultos (18 y más)",883
2016,9,"Ciudad de México","Homicidio doloso","Hombre","Menores de edad (0-17)",28
2016,9,"Ciudad de México","Homicidio doloso","Mujer","Adultos (18 y más)",65
2016,9,"Ciudad de México","Homicidio doloso","Mujer","Menores de edad (0-17)",8
2016,10,"Durango","Homicidio doloso","Hombre","Adultos (18 y más)",196
2016,10,"Durango","Homicidio doloso","Hombre","Menores de edad (0-17)",8
2016,10,"Durango","Homicidio doloso","Mujer","Adultos (18 y más)",7
2016,10,"Durango","Homicidio doloso","Mujer","Menores de edad (0-17)",3
2016,11,"Guanajuato","Homicidio doloso","Hombre","Adultos (18 y más)",960
2016,11,"Guanajuato","Homicidio doloso","Hombre","Menores de edad (0-17)",33
2016,11,"Guanajuato","Homicidio doloso","Mujer","Adultos (18 y más)",101
2016,11,"Guanajuato","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2016,12,"Guerrero","Homicidio doloso","Hombre","Adultos (18 y más)",1215
2016,12,"Guerrero","Homicidio doloso","Hombre","Menores de edad (0-17)",53
2016,12,"Guerrero","Homicidio doloso","Mujer","Adultos (18 y más)",259
2016,12,"Guerrero","Homicidio doloso","Mujer","Menores de edad (0-17)",11
2016,13,"Hidalgo","Homicidio doloso","Hombre","Adultos (18 y más)",102
2016,13,"Hidalgo","Homicidio doloso","Hombre","Menores de edad (0-17)",6
2016,13,"Hidalgo","Homicidio doloso","Mujer","Adultos (18 y más)",28
2016,13,"Hidalgo","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2016,14,"Jalisco","Homicidio doloso","Hombre","Adultos (18 y más)",869
2016,14,"Jalisco","Homicidio doloso","Hombre","Menores de edad (0-17)",32
2016,14,"Jalisco","Homicidio doloso","Mujer","Adultos (18 y más)",63
2016,14,"Jalisco","Homicidio doloso","Mujer","Menores de edad (0-17)",7
2016,15,"México","Homicidio doloso","Hombre","Adultos (18 y más)",1842
2016,15,"México","Homicidio doloso","Hombre","Menores de edad (0-17)",76
2016,15,"México","Homicidio doloso","Mujer","Adultos (18 y más)",260
2016,15,"México","Homicidio doloso","Mujer","Menores de edad (0-17)",19
2016,16,"Michoacán de Ocampo","Homicidio doloso","Hombre","Adultos (18 y más)",814
2016,16,"Michoacán de Ocampo","Homicidio doloso","Hombre","Menores de edad (0-17)",34
2016,16,"Michoacán de Ocampo","Homicidio doloso","Mujer","Adultos (18 y más)",67
2016,16,"Michoacán de Ocampo","Homicidio doloso","Mujer","Menores de edad (0-17)",6
2016,17,"Morelos","Homicidio doloso","Hombre","Adultos (18 y más)",488
2016,17,"Morelos","Homicidio doloso","Hombre","Menores de edad (0-17)",30
2016,17,"Morelos","Homicidio doloso","Mujer","Adultos (18 y más)",47
2016,17,"Morelos","Homicidio doloso","Mujer","Menores de edad (0-17)",8
2016,18,"Nayarit","Homicidio doloso","Hombre","Adultos (18 y más)",29
2016,18,"Nayarit","Homicidio doloso","Hombre","Menores de edad (0-17)",0
2016,18,"Nayarit","Homicidio doloso","Mujer","Adultos (18 y más)",12
2016,18,"Nayarit","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2016,19,"Nuevo León","Homicidio doloso","Hombre","Adultos (18 y más)",398
2016,19,"Nuevo León","Homicidio doloso","Hombre","Menores de edad (0-17)",21
2016,19,"Nuevo León","Homicidio doloso","Mujer","Adultos (18 y más)",66
2016,19,"Nuevo León","Homicidio doloso","Mujer","Menores de edad (0-17)",11
2016,20,"Oaxaca","Homicidio doloso","Hombre","Adultos (18 y más)",683
2016,20,"Oaxaca","Homicidio doloso","Hombre","Menores de edad (0-17)",25
2016,20,"Oaxaca","Homicidio doloso","Mujer","Adultos (18 y más)",23
2016,20,"Oaxaca","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2016,21,"Puebla","Homicidio doloso","Hombre","Adultos (18 y más)",500
2016,21,"Puebla","Homicidio doloso","Hombre","Menores de edad (0-17)",24
2016,21,"Puebla","Homicidio doloso","Mujer","Adultos (18 y más)",69
2016,21,"Puebla","Homicidio doloso","Mujer","Menores de edad (0-17)",9
2016,22,"Querétaro","Homicidio doloso","Hombre","Adultos (18 y más)",91
2016,22,"Querétaro","Homicidio doloso","Hombre","Menores de edad (0-17)",3
2016,22,"Querétaro","Homicidio doloso","Mujer","Adultos (18 y más)",10
2016,22,"Querétaro","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2016,23,"Quintana Roo","Homicidio doloso","Hombre","Adultos (18 y más)",71
2016,23,"Quintana Roo","Homicidio doloso","Hombre","Menores de edad (0-17)",2
2016,23,"Quintana Roo","Homicidio doloso","Mujer","Adultos (18 y más)",22
2016,23,"Quintana Roo","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2016,24,"San Luis Potosí","Homicidio doloso","Hombre","Adultos (18 y más)",274
2016,24,"San Luis Potosí","Homicidio doloso","Hombre","Menores de edad (0-17)",19
2016,24,"San Luis Potosí","Homicidio doloso","Mujer","Adultos (18 y más)",28
2016,24,"San Luis Potosí","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2016,25,"Sinaloa","Homicidio doloso","Hombre","Adultos (18 y más)",951
2016,25,"Sinaloa","Homicidio doloso","Hombre","Menores de edad (0-17)",31
2016,25,"Sinaloa","Homicidio doloso","Mujer","Adultos (18 y más)",29
2016,25,"Sinaloa","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2016,26,"Sonora","Homicidio doloso","Hombre","Adultos (18 y más)",498
2016,26,"Sonora","Homicidio doloso","Hombre","Menores de edad (0-17)",15
2016,26,"Sonora","Homicidio doloso","Mujer","Adultos (18 y más)",34
2016,26,"Sonora","Homicidio doloso","Mujer","Menores de edad (0-17)",3
2016,27,"Tabasco","Homicidio doloso","Hombre","Adultos (18 y más)",136
2016,27,"Tabasco","Homicidio doloso","Hombre","Menores de edad (0-17)",3
2016,27,"Tabasco","Homicidio doloso","Mujer","Adultos (18 y más)",6
2016,27,"Tabasco","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2016,28,"Tamaulipas","Homicidio doloso","Hombre","Adultos (18 y más)",476
2016,28,"Tamaulipas","Homicidio doloso","Hombre","Menores de edad (0-17)",30
2016,28,"Tamaulipas","Homicidio doloso","Mujer","Adultos (18 y más)",90
2016,28,"Tamaulipas","Homicidio doloso","Mujer","Menores de edad (0-17)",19
2016,29,"Tlaxcala","Homicidio doloso","Hombre","Adultos (18 y más)",46
2016,29,"Tlaxcala","Homicidio doloso","Hombre","Menores de edad (0-17)",1
2016,29,"Tlaxcala","Homicidio doloso","Mujer","Adultos (18 y más)",10
2016,29,"Tlaxcala","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2016,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Hombre","Adultos (18 y más)",677
2016,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Hombre","Menores de edad (0-17)",23
2016,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Mujer","Adultos (18 y más)",59
2016,30,"Veracruz de Ignacio de la Llave","Homicidio doloso","Mujer","Menores de edad (0-17)",3
2016,31,"Yucatán","Homicidio doloso","Hombre","Adultos (18 y más)",40
2016,31,"Yucatán","Homicidio doloso","Hombre","Menores de edad (0-17)",1
2016,31,"Yucatán","Homicidio doloso","Mujer","Adultos (18 y más)",7
2016,31,"Yucatán","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2016,32,"Zacatecas","Homicidio doloso","Hombre","Adultos (18 y más)",451
2016,32,"Zacatecas","Homicidio doloso","Hombre","Menores de edad (0-17)",31
2016,32,"Zacatecas","Homicidio doloso","Mujer","Adultos (18 y más)",50
2016,32,"Zacatecas","Homicidio doloso","Mujer","Menores de edad (0-17)",5
2017,1,"Aguascalientes","Homicidio doloso","Hombre","Adultos (18 y más)",68
2017,1,"Aguascalientes","Homicidio doloso","Hombre","Menores de edad (0-17)",3
2017,1,"Aguascalientes","Homicidio doloso","Mujer","Adultos (18 y más)",7
2017,1,"Aguascalientes","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2017,2,"Baja California","Homicidio doloso","Hombre","Adultos (18 y más)",1455
2017,2,"Baja California","Homicidio doloso","Hombre","Menores de edad (0-17)",44
2017,2,"Baja California","Homicidio doloso","Mujer","Adultos (18 y más)",124
2017,2,"Baja California","Homicidio doloso","Mujer","Menores de edad (0-17)",16
2017,3,"Baja California Sur","Homicidio doloso","Hombre","Adultos (18 y más)",557
2017,3,"Baja California Sur","Homicidio doloso","Hombre","Menores de edad (0-17)",18
2017,3,"Baja California Sur","Homicidio doloso","Mujer","Adultos (18 y más)",67
2017,3,"Baja California Sur","Homicidio doloso","Mujer","Menores de edad (0-17)",6
2017,4,"Campeche","Homicidio doloso","Hombre","Adultos (18 y más)",63
2017,4,"Campeche","Homicidio doloso","Hombre","Menores de edad (0-17)",1
2017,4,"Campeche","Homicidio doloso","Mujer","Adultos (18 y más)",6
2017,4,"Campeche","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2017,5,"Coahuila de Zaragoza","Homicidio doloso","Hombre","Adultos (18 y más)",171
2017,5,"Coahuila de Zaragoza","Homicidio doloso","Hombre","Menores de edad (0-17)",6
2017,5,"Coahuila de Zaragoza","Homicidio doloso","Mujer","Adultos (18 y más)",15
2017,5,"Coahuila de Zaragoza","Homicidio doloso","Mujer","Menores de edad (0-17)",5
2017,6,"Colima","Homicidio doloso","Hombre","Adultos (18 y más)",624
2017,6,"Colima","Homicidio doloso","Hombre","Menores de edad (0-17)",16
2017,6,"Colima","Homicidio doloso","Mujer","Adultos (18 y más)",63
2017,6,"Colima","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2017,7,"Chiapas","Homicidio doloso","Hombre","Adultos (18 y más)",443
2017,7,"Chiapas","Homicidio doloso","Hombre","Menores de edad (0-17)",22
2017,7,"Chiapas","Homicidio doloso","Mujer","Adultos (18 y más)",36
2017,7,"Chiapas","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2017,8,"Chihuahua","Homicidio doloso","Hombre","Adultos (18 y más)",1184
2017,8,"Chihuahua","Homicidio doloso","Hombre","Menores de edad (0-17)",58
2017,8,"Chihuahua","Homicidio doloso","Mujer","Adultos (18 y más)",136
2017,8,"Chihuahua","Homicidio doloso","Mujer","Menores de edad (0-17)",14
2017,9,"Ciudad de México","Homicidio doloso","Hombre","Adultos (18 y más)",1008
2017,9,"Ciudad de México","Homicidio doloso","Hombre","Menores de edad (0-17)",47
2017,9,"Ciudad de México","Homicidio doloso","Mujer","Adultos (18 y más)",94
2017,9,"Ciudad de México","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2017,10,"Durango","Homicidio doloso","Hombre","Adultos (18 y más)",178
2017,10,"Durango","Homicidio doloso","Hombre","Menores de edad (0-17)",9
2017,10,"Durango","Homicidio doloso","Mujer","Adultos (18 y más)",14
2017,10,"Durango","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2017,11,"Guanajuato","Homicidio doloso","Hombre","Adultos (18 y más)",1163
2017,11,"Guanajuato","Homicidio doloso","Hombre","Menores de edad (0-17)",67
2017,11,"Guanajuato","Homicidio doloso","Mujer","Adultos (18 y más)",145
2017,11,"Guanajuato","Homicidio doloso","Mujer","Menores de edad (0-17)",14
2017,12,"Guerrero","Homicidio doloso","Hombre","Adultos (18 y más)",1730
2017,12,"Guerrero","Homicidio doloso","Hombre","Menores de edad (0-17)",114
2017,12,"Guerrero","Homicidio doloso","Mujer","Adultos (18 y más)",148
2017,12,"Guerrero","Homicidio doloso","Mujer","Menores de edad (0-17)",19
2017,13,"Hidalgo","Homicidio doloso","Hombre","Adultos (18 y más)",157
2017,13,"Hidalgo","Homicidio doloso","Hombre","Menores de edad (0-17)",6
2017,13,"Hidalgo","Homicidio doloso","Mujer","Adultos (18 y más)",20
2017,13,"Hidalgo","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2017,14,"Jalisco","Homicidio doloso","Hombre","Adultos (18 y más)",1113
2017,14,"Jalisco","Homicidio doloso","Hombre","Menores de edad (0-17)",56
2017,14,"Jalisco","Homicidio doloso","Mujer","Adultos (18 y más)",90
2017,14,"Jalisco","Homicidio doloso","Mujer","Menores de edad (0-17)",12
2017,15,"México","Homicidio doloso","Hombre","Adultos (18 y más)",1922
2017,15,"México","Homicidio doloso","Hombre","Menores de edad (0-17)",90
2017,15,"México","Homicidio doloso","Mujer","Adultos (18 y más)",243
2017,15,"México","Homicidio doloso","Mujer","Menores de edad (0-17)",19
2017,16,"Michoacán de Ocampo","Homicidio doloso","Hombre","Adultos (18 y más)",903
2017,16,"Michoacán de Ocampo","Homicidio doloso","Hombre","Menores de edad (0-17)",41
2017,16,"Michoacán de Ocampo","Homicidio doloso","Mujer","Adultos (18 y más)",68
2017,16,"Michoacán de Ocampo","Homicidio doloso","Mujer","Menores de edad (0-17)",10
2017,17,"Morelos","Homicidio doloso","Hombre","Adultos (18 y más)",502
2017,17,"Morelos","Homicidio doloso","Hombre","Menores de edad (0-17)",15
2017,17,"Morelos","Homicidio doloso","Mujer","Adultos (18 y más)",33
2017,17,"Morelos","Homicidio doloso","Mujer","Menores de edad (0-17)",4
2017,18,"Nayarit","Homicidio doloso","Hombre","Adultos (18 y más)",267
2017,18,"Nayarit","Homicidio doloso","Hombre","Menores de edad (0-17)",12
2017,18,"Nayarit","Homicidio doloso","Mujer","Adultos (18 y más)",30
2017,18,"Nayarit","Homicidio doloso","Mujer","Menores de edad (0-17)",5
2017,19,"Nuevo León","Homicidio doloso","Hombre","Adultos (18 y más)",458
2017,19,"Nuevo León","Homicidio doloso","Hombre","Menores de edad (0-17)",22
2017,19,"Nuevo León","Homicidio doloso","Mujer","Adultos (18 y más)",17
2017,19,"Nuevo León","Homicidio doloso","Mujer","Menores de edad (0-17)",5
2017,20,"Oaxaca","Homicidio doloso","Hombre","Adultos (18 y más)",730
2017,20,"Oaxaca","Homicidio doloso","Hombre","Menores de edad (0-17)",23
2017,20,"Oaxaca","Homicidio doloso","Mujer","Adultos (18 y más)",42
2017,20,"Oaxaca","Homicidio doloso","Mujer","Menores de edad (0-17)",9
2017,21,"Puebla","Homicidio doloso","Hombre","Adultos (18 y más)",814
2017,21,"Puebla","Homicidio doloso","Hombre","Menores de edad (0-17)",24
2017,21,"Puebla","Homicidio doloso","Mujer","Adultos (18 y más)",98
2017,21,"Puebla","Homicidio doloso","Mujer","Menores de edad (0-17)",8
2017,22,"Querétaro","Homicidio doloso","Hombre","Adultos (18 y más)",151
2017,22,"Querétaro","Homicidio doloso","Hombre","Menores de edad (0-17)",6
2017,22,"Querétaro","Homicidio doloso","Mujer","Adultos (18 y más)",23
2017,22,"Querétaro","Homicidio doloso","Mujer","Menores de edad (0-17)",10
